id,letter_id,sentence,letter_sentence_index
59,2,"Jeg vil da nødig have at du skulde føle dig saadan overfor mig, kære Trine.",20
60,2,"Mener du ikke at Maren rigtig har budt dig, jeg tror nok dia kan komme for den Sags Skyld, hun synes ellers godt om dig.",21
61,2,"Jeg ved ikke, naar jeg kommer ud til jer.",22
62,2,Nu har du da faaet et langt Brev.,23
63,2,Jeg synes Pennen løber; man kan jo sige Hvad Hjertet er fuld af løber Pennen over af.,24
64,2,Nu ikke mere.,25
65,2,Med mange Hilsener og - - - fra din egen Peter.,26
66,2,"""det i sidste Brev omtalte"" - formodentlig rygterne i sagen om mejeriet og Jorgen Jensen",27
67,3,Kære Trine!,0
68,3,"Kanske havde du ventet Brev sidste Søndag; men Tiden den løber og jeg var ogsaa i færd med det, men saa kom vi i Tanker om, at vi vilde til Kirke i Skærbæk.",1
69,3,I Gaar var jeg i Vodder hos min Bedstemoder og Thomas Nielsen.,2
70,3,Da jeg var hos min Bedstemor kom Johanne og Ellen.,3
71,3,"Jeg tænkte snart ikke de vilde have talt til mig mon Gud bevares, jeg kunde snart ikke faa et Ord sagt.",4
72,3,"De fortalte at Iver havde været der for nogle Dage siden, de vidste ikke, hvor han havde været, men hans Cykel kunde ikke holde Vejret længe.",5
73,3,Jeg fortalte dig ogsaa at han var cyklet syd paa en Aften.,6
74,3,"Da havde Ester været paa Frifelt, saa det gaar jo helt godt.",7
75,3,Du kan tro de er mig haardt ombord med Ringridningen; men nu vil jeg da blive hjemme den her Gang.,8
76,3,Jeg vil da vise dem at jeg ikke tor i første Række altid.,9
77,3,Synes du ikke ogsaa jeg skulde.,10
78,3,"Men det er jo ikke saa let at forsvare sig, naar man ikke vil ud med Grunden.",11
79,3,"Der er ingen anden end dig og Uffe, der veed den.",12
80,3,"Det kan ogsaa godt være, at jeg synes for meget om mig selv; men den kan jeg nu ikke gøre ved, kære Trine.",13
81,3,Det skal du saa tage af mig.,14
82,3,"Ja jeg har saa galt faaet at høre, at hvis jeg ikke vilde ride, kunde du gerne gaa mig glip.",15
83,3,"Jeg tænkte, at hvis man saadan skulde slaa den ene Record paa den anden, saa det daarlig ud.",16
84,3,"Ikke sandt, Trine.",17
85,3,Vi er jo dog kun Mennesker.,18
86,3,Glæder du dig ikke til Skibelundfesten ?,19
87,3,"Blot vi nu faar godt Vejr, og saa vi ikke tør have haft Gardisten med.",20
88,3,"Jeg bliver der ogsaa om Natten, det vil sige i Kjøbenhoved.",21
89,3,Kunde vi saa ikke snyde Truls og komme til at følges ad hjem.,22
90,3,Det værste er vi mangler jo Uffe.,23
91,3,"Du kan tro, jeg har en god Støtte i J. Thøjsen.",24
92,3,"Det er et lille dejlig Menneske, saa skal jeg jo hjælpe ham igen.",25
93,3,"Han er den eneste lier i Huset, der ved rigtig besked; men ham kan jeg ogsaa godt betro mig til.",26
94,3,Det skulde da være Mor; men hun har da slet ikke sagt noget.,27
95,3,"Men ved hun noget, har jeg da spart at sige noget, naar vi - - - -.",28
96,3,Nu ikke mere i Aften.,29
97,3,God nat kære Trine.,30
98,3,"Og ret noget paa mig, hvis du ser noget skævt.",31
99,3,Her har du mig igen kære Trine.,32
100,3,Maren Fog kommer vist ud til dig i Eftermiddag.,33
101,3,"Saa faar jeg dig sagtens ikke at se i Dag, kære Trine.",34
102,3,"Jeg kunde ikke faa Tid for Bolden, for ellers havde jeg kommen ned til Jer den Søndag Eftermiddag.",35
103,3,"Jeg forglemte mit Ur i Forsamlingshuset den Dag, og jeg var efter det henved Kl. 9. Hvornaar kom du fra Koager.",36
104,3,"Da var der ellers Stilhed, men jeg tænkte, at du var taget hjem.",37
105,3,"Men Uffe sagde, at du havde mødt ham paa Vejen hjemad, saa det var jo kedelig.",38
106,3,Med Hilsen din Peter,39
107,4,Min egen kære Trine!,0
108,4,Tak Tor sidst.,1
109,4,"Du husker vel nok jeg fortalte dig, at Søren Stenderup forglemte at aflevere Brevet, og saa sagde jeg til ham, at han maatte brænde det.",2
110,4,"Men saa blev jeg bange, for de kunde vel gerne læse det, og saa sagde jeg til Laurids, at han skulde komme ned med det i Aften.",3
111,4,"Da jeg kom hjem fra Marken, sagde Mor til mig, at her var nogle Papirer som Laurids St. havde været med.",4
112,4,"Men det vil sige i aaben Tilstand, begge Kuverter var brækkede.",5
113,4,Jeg blev lidt hed om ørerne.,6
114,4,"Nu ved jeg ikke, om hun har set Indholdet eller ej.",7
115,4,"Jeg tænker det ikke, da der saa tidt kommer noget, som hun aldrig ser efter.",8
116,4,Hun har i hvert fald ikke talt til mig om noget.,9
117,4,"Jeg vilde blot have svaret, at det var en Ting, vi ikke vilde tale om foreløbig.",10
118,4,"Nu har jeg faaet at vide, at det er Laurids, der har brækket det.",11
119,4,Saa det jævner vel nok med Tiden.,12
120,4,Hvordan har du det siden rejsegildet.,13
121,4,"Jeg kom hjem en lille Times Tid efter dig, jeg syntes ikke jeg kunde være bekendt at gaa den Gang I gik.",14
122,4,Jeg tror ingen der kunde mærke noget; Tror du.,15
123,4,"Iver sagde rigtignok til mig den Gang jeg kom ind, om vi havde været ude st trække frisk Vejr, jeg sagde ja.",16
124,4,Du maa ikke være vred paa mig Trine; men jeg har underpløjet alle dine Breve i Dag.,17
125,4,"Jeg turde ikke have dem liggende nu i den her Tid, de gør rent.",18
126,4,"Nu kan du snart faa mig at se daglig ude ved Jeppe Vinds i Roerne, det er mig i den hvide Jakke.",19
127,4,"Jeg kan forstaa, du har øjnene med mig, naar jeg pløjer derude.",20
128,4,"Jeg ser ogsaa ofte ud efter dig; men jeg kan naturligvis ikke se dig, men alligevel ser jeg dig i Tanker, kære Trine.",21
129,4,"Det er tit jeg synes, nej nu blir det for meget, og saa vil jeg tænke paa noget andet; men saa er du der igen.",22
130,4,"Aa jeg er saa glad ved dig, kære Trine.",23
131,4,Nu ikke mere; men næste Søndag.,24
132,4,Med Hilsen fra din egen Peter.,25
133,5,Kære Trine !,0
134,5,"Hjertelig til Lykke paa din Fødselsdag, ja og havde jeg ikke siddet her vilde jeg have raabt et kraftigt dansk Hurra; men det lader sig vist ikke gøre da Far og Mor sover.",1
135,5,"Du skal jo have Tak for Indbydelsen; men jeg kommer vist ikke, jeg vilde ellers hellere have været, det end til Fodbold.",2
136,5,Det er ellers længe siden jeg har set dig.,3
137,5,"Den anden Dag var jeg kørende i Hoager, da saa jeg der kom en Cykel ude fra Jer.",4
138,5,"Og saa maatte Hestene have en lille Opmuntring, for ellers kunde jeg ikke naa hen til Vejen.",5
139,5,"Men ak, da var det kun Signe som cyklede efter Åbling.",6
140,5,Den anden Dag var Niels og jeg oppe at saa Frø.,7
141,5,Og korn vi til at snakke om hvor han fik en Karl fra.,8
142,5,til næste Aar.,9
143,5,"Ja han havde været ved Uffe, men han vilde vist paa Skolen.",10
144,5,Han vilde ellers grulig gerne have haft ham.,11
145,5,Og Bodil vilde jo ogsaa gerne have haft ham der over.,12
146,5,"Det er sandt, har du hørt, at Bodil  J har skudt dig ud.",13
147,5,Jo for til Opvisningen sad vi og talte sammen i en hel lang halv Time paa en Bænk.,14
148,5,Og vi gik ogsaa en Gang fra Diletanten i Frifeld.,15
149,5,Saa det kan jo ikke være andet.,16
150,5,"Nu er jeg nødt til at holde op, for jeg skal jo vist til Fodbold for at aflægge Mandatet som Formand.",17
151,5,Pigerne kan nok se naar jeg faar Brev fra Havnholdt.,18
152,5,Med Hilsen din Peter.,19
153,5,Mere næste Gang.,20
154,5,Her har du mig igen kære Trine.,21
155,5,Maren Fog kommer vist ud til dig i Eftermiddag.,22
156,5,"Saa faar jeg dig sagtens ikke at se i Dag, kære Trine.",23
157,5,"Jeg kunde ikke faa Tid for Bolden, for ellers havde jeg kommen ned til Jer den Søndag Eftermiddag.",24
158,5,"Jeg forglemte mit Ur i Forsamlingshuset den Dag, og jeg var efter det henved Kl. 9. Hvornaar kom du fra Koager.",25
159,5,"Da var der ellers Stilhed, men jeg tænkte, at du var taget hjem.",26
160,5,"Men Uffe sagde, at du havde mødt ham paa Vejen hjemad, saa det var jo kedelig.",27
161,5,Med Hilsen din Peter,28
162,6,Kære Trine.',0
163,6,"Du kan ogsaa tro jeg blev glad ved dit Brev, jeg var nemlig i daarlig",1
164,6,"Humor den Søndag Eftermiddag; men da Uffe korn, hjalp det; men endnu mere hjalp det, da jeg fik dit Brev, derfor vil jeg sige dig Tak, kære Trine.",2
165,6,"Jeg har aldrig tænkt paa det med Ventesalen, for jeg synes ikke vi kan have det saadan, at blot vi taler med nogle andre, saa er det galt.",3
166,6,"Da jeg kom hjem fra Ballet, kunde jeg ikke sove, jeg kom til at tænke paa, da vi gik hjem, gik jeg jo Arm i Arm med Dorthea T., og du gik lige ved Siden af, hvor ondt det maa have gjort dig, og jeg vidste endda godt, du vidste, det ikke havde nojj;et at betyde.",4
167,6,"Uffe og mig har talt derom, og han syntes ikke, det var saa galt; men havde det været mig, tror jeg nok jeg havde været lidt taeklærnpt.",5
168,6,"Men saadan noget lader vj være glemt, ikke sandt Trine ?",6
169,6,"Jeg synes slet ingen Udvej der er at se, til vi kan faa talt sammen.",7
170,6,"Du kan sagtens heller ikke komme saa meget ud, da din Mor er syg ?",8
171,6,"men hvis du ved det lidt i Forvejen, kunde du jo sende et Bud, saa kunde det jo gerne være, jeg ikke var optagen, hvor meget jeg end er det.  Kommer du med til Lundsmark ?",9
172,6,jeg kommer vist.,10
173,6,"Agnes blev ved med at jeg dog skulde komme med derhen, og jeg love-'e det ogsaa; men ellers tror jeg nok jeg vil gaa af, for jeg har for meget i Vinter, jeg er snart aldrig hjemme een Aften.",11
174,6,"Det bliver snart saadan, at Hjemmet bliver fremmed for mig.",12
175,6,"Ja-jeg rejser vist alligevel ud til næste Aar; men jeg tænker ikke, det bliver saa langt, i hvert fald bliver det ikke længere, end vi kan skrive sammen, kanske endnu nærmere.",13
176,6,Jeg kan vist komme over til Niels Kjær; men jeg ved ikke endnu.,14
177,6,"Nu tror jeg da ikke jeg vil mere, for saa blir der vist ikke til næste Gang.",15
178,6,"Nu kommer det an paa om du kan læse det, for det er gaaet i en fart.",16
179,6,Mange Hilsener sender dig din egen Peter.,17
180,6,Jeg tænker jeg kommer ud til Jer paa Søndag.,18
181,6,Kommer du til Oplæsning paa Torsdag ?,19
182,6,Jeg kommer vist.,20
183,6,Næste Gang ikke.,21
184,6,"Tak paa Forhaand for dit Fotografi, kære Trine.",22
185,6,Maa jeg vente Brev paa Fredag ?,23
186,6,En Gang om Ugen kan vel ikke være for meget.,24
187,7,Kære Trine!,0
188,7,Tak for Brevet.,1
189,7,"Ja du maa undskylde mig, fordi jeg narrede dig med Turen til Lundsmark; men Mor var syg, og Far var ikke hjemme, saa jeg kunde ikke saa godt komne hen.",2
190,7,"Ja det blev ikke til noget med Samtalen sidste Søndag, jeg turde ikke rigtig vove at give mig i Samtale med dig, for skulde der saa have været nogen paa Lur.",3
191,7,"Jeg har moret mig i den sidste Tid over Signe, hun ser altid saa forunderlig paa mig, veed hun noget ?",4
192,7,"Det var en fin Maade, I fik Brevet til Roager paa, den var godt udregnet.",5
193,7,"Hvad mon Iver har tænkt, hvis han vidste, hvad han gik med.",6
194,7,Skal I saa til Vodder paa Søndag ?,7
195,7,"Uffe kommer vist herind om Eftermiddagen, og saa tager vi med Toget til Frifeldt, kunde det ikke gaa ?",8
196,7,"Du skrev, om det var før November jeg drog ud, det er det ikke.",9
197,7,"Jeg er forfærdelig ked af det her med Ungdomsforeningen for jeg kunde høre paa Uffe i Gaar Aftes, at han ogsaa var ved at tænke paa at gaa.",10
198,7,af.,11
199,7,"Og saa tror de jo vist, at det er mig, der har sat ham det ind, og det er det paa ingen mulig Maade; men jeg tror ikke han regner det for meget, det er vist mest for - - -, han er med.",12
200,7,"Du kan tro jeg manglede dig til Oplæsningen, jeg synes, at det er saa trist, naar det er Steder, hvor vi ellers plejer at være sammen, og saa du ikke er der; men det fik jo at hjælpe sig.",13
201,7,"Nu vil jeg ikke mere, for Federen er forslidt, og jeg er søvnig.",14
202,7,Jeg har tænkt paa Jer hele Aftenen derhenne i Lundsmark.,15
203,7,Kommer du ikke snart ind at se til Maren Fog ?,16
204,7,Med Kærlige Hilsener fra din egen Peter.  Kommer du til Møde paa Fredag ?,17
205,7,"Jeg tror ikke jeg kommer, det er min Tur at blive hjemme.",18
206,7,Husk,19
207,7,paa det er paa Torsdag vi har Gymnastik.,20
208,7,"Nej nu skal du ikke have mere at vide denne Gang, kære Trine.",21
209,8,Min egen kære Trine!,0
210,8,Ja Vejret tillod ikke vor forudtænkte Plan sidste Søndag.,1
211,8,"Jeg havde ellers glædet mig til det, for jeg synes, vi har saa meget at tale om, for nu er det jo længe siden.",2
212,8,"Men saa maa vi jo fortsætte vore Skriverier, for jeg synes altid det letter paa Humøret, naar jeg faar",3
213,8,"Brev fra dig, kære Trine.",4
214,8,I Gaar var jeg til Barselsgilde ude hos P.Højer.,5
215,8,Vi dansede ogsaa lidt; men jeg manglede dig.,6
216,8,De Dans jeg fik var nemt talte.,7
217,8,Ja du var heller ikke til Møde paa Fredag.,8
218,8,"Uffe var nok med Toget hjem; men det var vist af den Grund han skulde tage Afsked mer1 Bodil, det havde han vist gjort henne ved Stationen.",9
219,8,"Du maa undskylde at jeg ikke har svaret dig paa Spørgsmaalet, om jog havde mere Fotografier fra Ryslinge; men det har jeg ikke, jeg fik kun tre, 1 har jeg, Uffe 1, og saa har P. Barsballe taget mig een fra.",10
220,8,"Du maatte godt faa den jeg har; men jeg synes ikke, den er god nok til dig.",11
221,8,"Jeg var i Ribe for 8 Dage siden, da vilde jeg have haft det; men Fotografen vilde ikke, for det var graat Vejr.",12
222,8,"Maren Fog kom nu lige og forstyrrede mig, hun fortalte, Uffe havde været med Toget (8).",13
223,8,"Men jeg kan da ikke tro, I har været i Vodder i saadan et Vejr ?",14
224,8,"Nu synes jeg ikke jeg har mere at fortælle dig, kære Trine.",15
225,8,"Man kan jo nu heller ikke saa godt samle det, naar man ikke har faaet Søvn.",16
226,8,Med mange Hilsener og Tak for Brevet  din egen Peter.,17
227,8,Ja,18
228,8,"Skriften bliver daarligere; men du skal blot sige til, naar du ikke kan læse det længere.",19
229,8,"Hvad mente du med Brevet som Bodil skrev i, at det varede længe, før jeg fik den ?",20
230,8,"Nu paa snart Gjensyn, kære Trine, ikke sandt ?",21
231,9,Kære Far!,0
232,9,"Hjertelig til lykke på din fødselsdag, og jeg håber, at jeg næste år kan fejre den hjemme hos dig.",1
233,9,"Det er jo lidt tidlig at skrive, da der jo snart er 14 dage til; men I ved jo det tager lang tid.",2
234,9,"I går skrev jeg jo også et brev; men er ikke kommen bort endnu, så nu har jeg i dag igen lidt tid, og må så hellere skrive et par ord mere.",3
235,9,Vi kom rask ind i Rusland igen.,4
236,9,"Sagen var, vi lå ved grænsen og havde det helt godt indrettet, så kom det, at nu gik Russen tilbage, og vi måtte selvfølgelig bagefter.",5
237,9,Og nu er vi nået en 20 kilom.,6
238,9,"ind i Rusland igen, og ligger foran en lille stad Lods .",7
239,9,"Men vi kan da sige, at det er meget bedre her som på den anden side.",8
240,9,"Vejene er meget bedre, og alt er under bedre kultur som der.",9
241,9,"Men kommer man så til at tænke på, hvor godt I har det hjemme, så blir det jo lidt sort; men Tanken om, at igen kommer hjem holder det hele oppe; men mangen en, som også har tænkt den tanke, ligger nu død.",10
242,9,"Trine skrev forleden, at hun kunde ikke forstå, hvorledes det skulde gå, hvis vi ikke kom hjem til Jul, for hun syntes ikke, at I kunde synge ""Dejlig er Jorden"" eller Fred på Jord.",11
243,9,"Nej, denne Jul giver det nok ingen Julefred her på Jorden.",12
244,9,"Det er min den værste Tanke, at tænke man kanske ikke kan fejre en Jul.",13
245,9,"Nu er det bleven morgen igen, og jeg og den anden Gefr.",14
246,9,"har ligget i en seng uden Tøj natyrlig, men ellers i en varm stue I kan tro, vi har hvilet os ud efter at i 10 nætter at have ligget i Lade og Stalde, ja så gal i en skov, og Jorden var så frossen, at vi ikke kunde holde ud at ligge.",15
247,9,Kl.10 gik vi til ro og sov til kl. 7.,16
248,9,Så fik den anden Gefr.,17
249,9,"fat på et stort stykke Sideflæsk, som vi nu er ved at stege for at få lidt at lægge på brødet, og vi er så glad for den lille Kopfuld, som vi har fået der, at vi næsten ikke tør gå fra det.",18
250,9,"Nu har jeg trukket mig det ny tøj på hjemmefra (strikket undertøj), og nu er jeg helt godt tilpas.",19
251,9,"Om vi blir her i nat er jo et spørgsmål, men det er dog godt, så længe det er godt.",20
252,9,"Ja det er sært at tænke på, at man ikke ved, hvor man skal tilbringe natten; men jeg kan ikke nok takke Gud for den gode plads, jeg har, og mine kammerater har oft måttet ligge ude, hvor jeg dog har ligget under tag.",21
253,9,"Ja nu må jeg hellere slutte, da jeg skal på buroet, og til Trine skal jeg også have skreven.",22
254,9,Ja nu Lev vel kære alle og hils alle der hjemme fra eders Peter.,23
255,9,Send kun igen lidt,24
256,9,"Bolion og et stykke Chocolade, det er udmærket,",25
257,9,"når man ingen brød har, med et stykke Chocolade.",26
258,9,"Sig hele familie Ablings, Skærbæk tak for pakkerne, jeg har sendt et kort.",27
259,10,Kære Trine.,0
260,10,"Ja du skal vel til Læsekursus i næste ""Uge, gid j eg kunde have kommet med.",1
261,10,Du kan do sende mig et lille Referat dernedefra.,2
262,10,Uffe var med mig helt inde ved Truls'es den Aften jeg var ude hos dig.,3
263,10,Du kan tro vi fik nok talt.,4
264,10,"Han er forfærdelig ked af det, at det er gaaet over med han og Bodil.",5
265,10,"Jeg ved ikke, men jeg tror nok han skriver op til hende.",6
266,10,Han sagde han ikke havde været glad siden.,7
267,10,Og han vidste ikke hvad der var kommen i Vejen.,8
268,10,"Men om ogsaa det skulde blive godt igen, synes jeg ikke de kan andet end tænke paa det hver Gang de ses.",9
269,10,Ja nu er min Skjæbne  altsaa afgjort i de første to Aar.,10
270,10,Jeg er dog glad ved at det ikke er s.aa langt borte.,11
271,10,Men det vil jo blive en Forandring saadan paa en Gang at blive en bunden Mand.,12
272,10,"Aa nu maa du ikke forglemme at skrive til mig Trine, for jeg synes at jeg har en god Støtte i dig.",13
273,10,Jeg ved du gaar derhjenme og sender mig daglig en Hilsen.,14
274,10,"Og om de aldrig tumler saa meget med os deroppe, er der dog en højere Magt, som de ikke kan trodse.",15
275,10,"Har din Mor slet ikke sagt noget, siden jeg har været ude ?",16
276,10,Skal du ikke snart til Vodder.,17
277,10,Nu ikke mere.,18
278,10,"Jeg sidder ved Vinduet og skriver, jeg ved ikke om du kan læse det.",19
279,10,Bedre næste gang.,20
280,10,Med Hilsen  din Peter,21
281,11,Min egen Trine.,0
282,11,Du ventede vel sagtens ellers at have set mig i Formiddag; men jeg skulde røgte.,1
283,11,I Dag er du vel i Vodder.,2
284,11,"Vi har lige haft Bymanden til Barselgilde oppe hos Malerens til,på Lørdag, skal I med ?  det skal vist ikke være Dans; men I plejer dog at være med der, ikke ?",3
285,11,Vi skulde jo ellers have været over til Chr. Lastejn i Birkelev; men det bliver vist opsat.,4
286,11,"Jeg troer nok Bodil og Truls også skal med, saa kan du tro Bodil og mig vi nok skal more os, naar vi saadan er paa egen Haand.",5
287,11,Men vi konmer jo vist alligevel til at mangle to -  I Morgen vilde jeg ellers have været ud til jer; men vi faar desværre Fremmede.,6
288,11,"Det er saa mange Forlovede, Thomas og Forlovede og to Par fra Døstrup.",7
289,11,Aa gid jeg ogsaa havde haft min -,8
290,11,Jeg længes saadan efter at se og tale med dig kære Trine.,9
291,11,"Jeg havde ellers god Lejlighed til en lille Pasiar i Aften, med dig naturligvis, ellers havde det været det samme.",10
292,11,Jeg er nemlig ene Mand i hele Huset nu for Øjeblikket; men desværre -,11
293,11,Jeg er dog glad ved at du kommer ind at se til mig kære Trine.,12
294,11,Jeg skal nok lade dig det vide om Maren er hjemme eller ej.,13
295,11,Jeg ved det ikke endnu.,14
296,11,Jeg er kommen til at tænke paa Povl og Asta (af Naar Isen brydes) at Folk virkelig kunde forføre hende til at tænke at Povl holdt hende for Nar.,15
297,11,"Jeg synes dog, om der virkelig kom et Kurre paa Traaden fra den Side saa vilde jeg dog først overveje Sagen fra begge Sider eller og tale sammen om det.",16
298,11,"Men det haaber vi ikke, vel kære Trine.",17
299,11,Jeg tror nok at vi kender hinanden saa godt at Folk ikke skal lyve os saa grulig meget paa.,18
300,11,Der er mange der har spurgt mig hvorfor jeg da lod være med Ungdomsmøderne.,19
301,11,"Nogle troede at det var fordi jeg ikke kunde taale at Truls saa mild efter dig, andre at de havde fornærmet mig; men det er nu ingen af Delene.",20
302,11,Jeg har vist ellers fortalt dig det.,21
303,11,"Men det var fordi jeg havde saa meget, og saa var det det jeg mindst havde Interesse for.",22
304,11,For hvis du ikke havde været med vilde jeg slet ikke have været med.,23
305,11,Ja nu maa du ikke lade det være for det.,24
306,11,"For det jeg ikke har Interesse for det, kan du jo godt have det, og det kan ogsaa godt være, at min Mening er fejl.",25
307,11,Nu har jeg ikke mere denne Gang; men jeg kan jo lade det ligge åben til i Morgen.,26
308,11,Ja det blev nu Overmorgen; men lige meget.,27
309,11,"Jeg havde glædet mig til at du kom herind i Dag, men I skal vel have Fremmede.",28
310,11,"Gør hvad du kan for at komme, jeg længes efter dig, kære Trine.",29
311,11,"Jeg var ikke i Birkelev i Gaar, jeg var til Barselsgildet i stedet for.",30
312,11,"Og kom først hjem Kl. 2, saa jeg er lidt søvnig.",31
313,11,"Og Meningen er at jeg skal køre rundt i Vodder-Spandet Sogn med en Tysker, som har købt vore Kreaturer, helt til Kl.4.",32
314,11,"Det vil blive kedsom; men blot du saa var kommen, naar jeg kom hjem.",33
315,11,Din Peter.,34
316,11,Bodil og Truls var nok ikke i Birkelev.,35
317,11,"Jeg skulde vel da ogsaa sige dig Tak for Brevene, kan det ikke klare det for to.",36
318,12,Til min lille Kæreste.,0
319,12,Tak for sidst.,1
320,12,"Jeg kom jo kørende hjem, det gav jo ikke meget søvn.",2
321,12,Jeg var ikke rigtig godt tilpas,3
322,12,Bagen efter.,4
323,12,Du ved nok jeg fortalte dig at Bodil havde fortalt mig noget.,5
324,12,"Men jeg vilde ikke fortælle dig det, inden jeg havde ren Mel i Posen.",6
325,12,"Hun fortalte, at der var en der havde fortalt hende, at Jeg og Jens Thøjsen sad ofte og talte med Pigerne nede i deres Kammer sidste Aar, Og jeg kunde ikke begribe, hvor det var kommen fra.",7
326,12,Men jeg har talt med  Jens om det i Dag.,8
327,12,"Og han sagde at vi kun havde været der en Eftermiddag, vi havde lappet Lastejns Cykel, og jeg kan slet ikke huske, at vi har været der.",9
328,12,"Men Jens og Kirstine siger, at den Eftermiddag var Søren og Stine Jensen kommen, saa nu er Forklaringen jo nemt, for der kan jo komme en Elefant af en Flue.",10
329,12,"Men jeg var saa ked af det, for du kunde jo tro noget helt andet.",11
330,12,"I Aften er der jo Dilletant i Frifeld, og jeg er kommen i en farlig Situtation, for Niels Kjær vilde passe Hestene for mig.",12
331,12,"Han kom i Morgen og spurgte, hvormange der vilde til Frifeid, ja det vilde de alle paa mig nær.",13
332,12,Ja jeg skal nok passe Hestene for dig i Aften saa,14
333,12,du kan godt blive derhenne.,15
